date,close,open,high,low,volume,pct_change
2020年3月9日,"3,997.13","4,063.08","4,063.08","3,995.13",208.10K,-3.42%
2020年3月6日,"4,138.51","4,158.20","4,181.31","4,135.48",172.48K,-1.62%
2020年3月5日,"4,206.73","4,150.21","4,215.85","4,127.23",231.82K,2.23%
2020年3月4日,"4,115.05","4,078.50","4,115.26","4,060.81",182.43K,0.58%
2020年3月3日,"4,091.36","4,125.14","4,147.65","4,067.91",219.37K,0.53%
2020年3月2日,"4,069.67","3,968.84","4,092.52","3,968.84",219.31K,3.29%
2020年2月28日,"3,940.05","3,988.73","4,031.15","3,928.07",230.28K,-3.55%
2020年2月27日,"4,084.88","4,084.08","4,110.51","4,067.44",181.29K,0.29%
2020年2月26日,"4,073.02","4,070.10","4,132.78","4,061.12",261.09K,-1.23%
2020年2月25日,"4,123.85","4,066.30","4,126.71","4,020.91",244.17K,-0.22%
2020年2月24日,"4,132.84","4,131.84","4,149.01","4,097.18",212.87K,-0.40%
2020年2月21日,"4,149.49","4,134.87","4,184.44","4,130.17",217.21K,0.12%
2020年2月20日,"4,144.66","4,062.90","4,148.53","4,055.81",212.23K,2.30%
2020年2月19日,"4,051.31","4,049.59","4,085.17","4,042.85",169.05K,-0.15%
2020年2月18日,"4,057.51","4,069.83","4,076.39","4,027.79",163.24K,-0.49%
2020年2月17日,"4,077.42","3,999.65","4,077.45","3,999.65",182.78K,2.25%
2020年2月14日,"3,987.73","3,954.23","4,001.56","3,954.02",143.24K,0.70%
2020年2月13日,"3,959.92","3,985.88","3,999.55","3,950.14",145.00K,-0.62%
2020年2月12日,"3,984.43","3,945.67","3,984.43","3,940.67",126.71K,0.81%
2020年2月11日,"3,952.46","3,926.42","3,970.52","3,915.71",143.44K,0.93%
2020年2月10日,"3,916.01","3,872.37","3,920.17","3,861.01",148.41K,0.41%
2020年2月7日,"3,899.87","3,879.55","3,899.88","3,849.71",151.73K,0.00%
2020年2月6日,"3,899.78","3,841.75","3,914.91","3,806.96",176.46K,1.86%
2020年2月5日,"3,828.53","3,801.10","3,866.01","3,781.61",174.93K,1.13%
2020年2月4日,"3,785.64","3,652.00","3,786.86","3,652.00",213.93K,2.64%
2020年2月3日,"3,688.36","3,639.91","3,732.16","3,639.91",157.56K,-7.88%
2020年1月23日,"4,003.90","4,093.32","4,103.52","3,972.39",160.36K,-3.10%
2020年1月22日,"4,131.93","4,093.80","4,141.18","4,046.49",126.76K,0.43%
2020年1月21日,"4,114.31","4,165.02","4,165.02","4,113.33",130.53K,-1.71%
2020年1月20日,"4,185.83","4,170.74","4,185.96","4,149.49",122.41K,0.75%
